Category,Product Name,Price,Purchase Date
Home & Kitchen,Gokul Stainless Steel Fancy Water Jug,500.0,2024-12-16
Joyo Plastics,Joyo Kitchen Storewell Container Printed - Assorted,1265.0,2025-01-06
Baby & Kids,Nestle Ceregrow Milk & Fruits,303.0,2024-12-06
Motorbike Helmets,Studds Chrome Eco Full Face Helmet 580 mm - Black,1075.0,2025-01-03
Wonderchef,Wonderchef Nutri-Blend Black,5300.0,2024-12-21
Clothing & Accessories,Macho Printed Mini Men's Trunk - 95 cm (XL),190.0,2024-11-08
School Supplies,Cello ColourUp Celebration Kit - Small,149.0,2025-03-17
Computer Accessories,Zebronics K20 Keyboard,399.0,2024-10-12
Fruits & Vegetables,Fresh Pomegranate (Anar),225.0,2025-02-26
Grocery,Gowardhan Pure Cow Ghee Jar,160.0,2025-01-20
School Supplies,Faber-Castell Plastic Erasable Crayons,65.0,2025-01-19
Appliances,Syska Maxair Silent Operation Ceiling Fan SFP 1100 - 1200 mm,1899.0,2025-03-04
Joyo Plastics,Joyo Kitchen Storewell Container Printed - Assorted,1265.0,2025-01-27
Water Purifiers & Accessories,Eureka Aquasure Cartridge - 4000 Litres,875.0,2025-01-23
Pigeon,Pigeon Induction Cooktop Acer Plus,3595.0,2025-01-14
Plant Container,Pot Planter Saucer Base Plate - 16.5 cm,17.0,2025-01-27
Home & Kitchen,Ariel Matic Front Load Detergent Washing Powder,285.0,2025-01-05
Home & Kitchen,Cortina 2 Seater Jacquard Sofa Cover (145-185 cm) Beige,1499.0,2024-11-07
Plant Container,Krish Planter 110 - Red,150.0,2025-03-10
Motorbike Helmets,Studds Urban Open Face Helmet 580 mm - Black,1075.0,2024-11-09
Pigeon,Pigeon Induction Cooktop Acer Plus,3595.0,2024-12-17
Joyo Plastics,Joyo Kitchen Storewell Container Printed - Assorted,1265.0,2024-09-28
Baby & Kids,Nestle Cerelac Wheat Apple Cherry,263.0,2024-09-25
Packaged Food,Kurkure Green Chutney Style,20.0,2024-12-28
DMart Grocery,Eco Kolam Jirasar Sorted Rice,260.0,2024-12-05
DMart Grocery,Basmati Rice Mogra,375.0,2024-11-05
School Supplies,Cello Finegrip Pen (Jar),175.0,2025-01-24
Baby & Kids,Nestle Cerelac Multigrain Dal Veg,298.0,2024-10-24
Motorbike Helmets,Vega Verve Helmet - Medium,1295.0,2024-10-08
Appliances,Crompton IHL-201 Immersion Heater,825.0,2025-03-05
Geep,Geep G-Square Flex Box,360.0,2025-02-07
Clothing & Accessories,Clio Ladies T-Shirt & Pyjama Nightwear Set (A4),475.0,2024-12-27
Joyo Plastics,Joyo Kitchen Storewell Container Printed - Assorted,1265.0,2025-02-23
Motorbike Helmets,Studds Urban Open Face Helmet 580 mm - Black,1075.0,2024-11-15
Tableware,Disposable Bagasse Paper Plates - 17 cms,75.0,2024-10-13
Joyo Plastics,Joyo Kitchen Storewell Container Printed - Assorted,1265.0,2025-01-13
Plant Container,Pot Planter Saucer Base Plate - 13 cm,17.0,2025-03-10
Computer Accessories,Zebronics Ms Alex Optical USB Mouse,299.0,2024-11-03
Computer Accessories,Zebronics Ms Alex Optical USB Mouse,299.0,2024-10-31
Syska,Syska SDI07 Dry Iron,799.0,2024-12-28
Specials,Decorative Two Layers Multi Colour Gonda Toran - 12 Inches,250.0,2024-10-07
Grocery,Fortune Rice Bran Health Oil,199.0,2025-03-14
Appliances,Usha IH2410 Immersion Heater,650.0,2025-02-06
Raincoat,Zeel MS301 Men's Raincoat - Black,499.0,2025-01-06
Water Purifiers & Accessories,Eureka Aquasure Cartridge - 4000 Litres,875.0,2024-10-08
Grocery,Premia Kaju Special (Cashews),140.0,2024-10-19
Computer Accessories,Zebronics Ms Alex Optical USB Mouse,299.0,2024-12-10
Water Purifiers & Accessories,Eureka Aquasure Cartridge - 4000 Litres,875.0,2024-12-05
School Supplies,Doms X1 X-Tra Super Dark Pencils,50.0,2024-12-08
Joyo Plastics,Joyo Kitchen Storewell Container Printed - Assorted,1265.0,2024-11-08
Grocery,Nutraj California Almonds (Badam),599.0,2024-10-28
Home & Kitchen,Shubhkart Nitya Crystal Deep Medium,449.0,2024-11-02
Joyo Plastics,Joyo Kitchen Storewell Container Printed - Assorted,1265.0,2024-12-19
Appliances,Bajaj MX35N Steam Iron,3800.0,2024-09-21
Home & Kitchen,Odonil Scintillating Rose Zipper,60.0,2025-01-26
Baby & Kids,Nestle Cerelac Wheat Apple Cherry,263.0,2024-11-07
Dairy & Beverages,Hershey's Chocolate Syrup,220.0,2024-10-27
Wonderchef,Wonderchef Nutri-Blend Black,5300.0,2025-02-18
DMart Grocery,Silky Kolam Rice,460.0,2024-10-10
Home & Kitchen,La Opala Sovrana Cup & Saucer Set,725.0,2024-12-23
Raincoat,Zeel MS201 Men's Raincoat - Blue,499.0,2024-09-30
Tableware,Disposable Paper Plates - 10 inches,139.0,2025-02-19
Raincoat,Zeel MR161 Men's Raincoat - Black,1500.0,2025-02-17
Wonderchef,Wonderchef Nutri-Blend Black,5300.0,2024-11-11
Motorbike Helmets,Studds Chrome Eco Full Face Helmet 580 mm - Black,1075.0,2024-12-17
Plant Container,Pot Planter Saucer Base Plate - 13 cm,17.0,2024-11-10
Plant Container,Krish Planter 110 - Blue,150.0,2025-03-16
Home & Kitchen,Srithai Mixing Bowl B61060-6 - Diana,240.0,2024-10-15
Kitchen Aprons,Japa Denim Kitchen Apron - A3-718,285.0,2024-10-05
Grocery,Kubal Ready Mix Pickle Masala,60.0,2024-09-28
Computer Accessories,Zebronics Ms Alex Optical USB Mouse,299.0,2025-01-19
School Supplies,ITC Classmate Octane Neon Gel Pen,50.0,2024-12-13
Computer Accessories,Zebronics Ms Alex Optical USB Mouse,299.0,2024-11-26
Zebronics,Zebronics Tulip Earphones - Black,459.0,2025-01-26
Water Purifiers & Accessories,Eureka Aquasure Cartridge - 4000 Litres,875.0,2025-02-08
Personal Care,Amrutanjan Strong Pain Balm,125.0,2024-12-08
Zebronics,Zebronics TU240C Type C Charging Cable,349.0,2024-11-26
Personal Care,Maybelline New York Creamy Mattes Rich Ruby Lipstick,299.0,2025-01-24
Backpacks,Aristocrat Kane Backpack - Light Blue,2110.0,2024-11-10
Syska,Syska SDI07 Dry Iron,799.0,2024-11-13
Personal Care,Boroline's Suthol Neem Spray,80.0,2024-09-28
Motorbike Helmets,Vega Verve Helmet - Medium,1295.0,2024-10-10
Backpacks,Skybags New Neon School Backpack - Pink,1998.0,2024-11-16
Zebronics,Zebronics Aura Bluetooth Headphone,999.0,2024-11-23
Personal Care,Palmolive Aroma Morning Tonic Shower Gel,539.0,2024-10-31
Geep,Geep Extreme 3 PIN Multi Plug Adapter,205.0,2024-11-15
Smartwatches,Portronics Kronos Y1 Smart Watch - Grey,5999.0,2025-01-08
Geep,Geep Extreme 3 PIN Multi Plug Adapter,205.0,2025-03-16
Pigeon,Pigeon Induction Cooktop Acer Plus,3595.0,2024-10-06
Syska,Syska SDI07 Dry Iron,799.0,2024-12-19
Packaged Food,Dukes Waffy Choco Roll,180.0,2024-10-22
Home & Kitchen,Philips Acesaver LED Bulb,155.0,2024-10-09
Specials,Zebronics Pleasant Headphone,399.0,2025-02-08
Beauty & Cosmetics,Garnier Men Powerwhite XL Charcoal Mask,150.0,2024-11-10
Wonderchef,Wonderchef Nutri-Blend Black,5300.0,2024-09-22
Backpacks,Wildcraft Wonder Backpack - Ombre Black,1699.0,2024-12-10
Home & Kitchen,Mangaldeep Anushri Fresh Florals Puja Agarbattis,70.0,2024-10-26
Motorbike Helmets,Vega Verve Helmet - Medium,1295.0,2025-01-18
Zebronics,Zebronics Tulip Earphones - Black,459.0,2024-11-10
Geep,Geep Micro USB High Speed Charging Cable (1 Metre),299.0,2024-10-30
Dairy & Beverages,Tetley Lemon & Honey Green Tea Bags,165.0,2024-10-10
Smartwatches,Portronics Kronos Y1 Smart Watch - Grey,5999.0,2025-03-10
Kitchen Aprons,Japa Denim Kitchen Apron - A4-719,285.0,2024-10-23
Geep,Geep G-Square Flex Box,360.0,2024-10-22
Computer Accessories,Zebronics K20 Keyboard,399.0,2024-11-19
Grocery,Satyam Elaichi Big,141.0,2025-01-03
Zebronics,Zebronics Delight Bluetooth Speaker,899.0,2024-10-04
Specials,Mangaldeep Sandalwood Pooja Agarbatti,70.0,2024-11-27
Plant Container,Pot Planter Saucer Base Plate - 16.5 cm,17.0,2024-10-17
Baby & Kids,Pidilite Rangeela Creative Clay - Fruit Pack,35.0,2024-11-11
Butterfly,Butterfly Stainless Steel Outer Lid Curve Cooker,4851.0,2025-01-24
Packaged Food,Tic Tac Saunf Flavour,10.0,2024-10-01
DMart Grocery,Basmati Rice Mogra,375.0,2025-01-10
Grocery,Gulab Groundnut Oil,1223.0,2025-02-26
Geep,Geep G-Square Flex Box,360.0,2024-10-25
Grocery,Premia Red Chilli Powder,27.0,2024-11-24
School Supplies,Pidilite Fevicryl Acrylic Pouring Kit,275.0,2024-10-12
Fruits & Vegetables,Cabbage (Patta Gobi),45.0,2025-03-11
Smartwatches,Portronics Kronos Y1 Smart Watch - Grey,5999.0,2025-02-20
Personal Care,Elle 18 Nail Pops Nail Colour - Shade 60,55.0,2024-12-12
Raincoat,Zeel MT212 Men's Raincoat - Navy Blue : Size XXL,1199.0,2025-01-17
Geep,Geep G-Square Flex Box,360.0,2025-03-15
Packaged Food,Nutrivalue Stevia Leaves - Natural Sweetener,150.0,2025-03-02
Water Purifiers & Accessories,Eureka Aquasure Cartridge - 4000 Litres,875.0,2024-10-12
Baby & Kids,Pidilite Rangeela Creative Clay - Fruit Pack,35.0,2024-11-22
Fruits & Vegetables,Fresh Lady Finger (Bhendi),60.0,2025-02-23
Baby & Kids,Nestle Ceregrow Milk & Fruits,303.0,2025-02-01
Clothing & Accessories,In Shape Ladies Inner Elastic Hipster Panties - B,500.0,2024-12-10
Raincoat,Zeel MT212 Men's Raincoat - Navy Blue : Size XXL,1199.0,2024-11-23
Baby & Kids,Nestle Ceregrow Milk & Fruits,303.0,2024-10-10
Backpacks,High Spirit Priority Champ Laptop Backpack - Black,999.0,2025-01-11
Beauty & Cosmetics,Neutrogena Hydro Boost Water Gel,1050.0,2025-01-24
Motorbike Helmets,Studds Chrome Eco Full Face Helmet 580 mm - Black,1075.0,2024-12-05
Butterfly,Butterfly Stainless Steel Outer Lid Curve Cooker,4851.0,2024-11-25
Joyo Plastics,Joyo Kitchen Storewell Container Printed - Assorted,1265.0,2024-10-19
Personal Care,Patanjali Saundarya Aloe Vera Gel,90.0,2024-11-09
Motorbike Helmets,Studds Urban Open Face Helmet 580 mm - Black,1075.0,2024-12-05
Grocery,Dhara Filtered Groundnut Oil Pouch,225.0,2025-02-04
School Supplies,Anupam Canvas Painting Board (10x12 Inches),90.0,2025-02-08
Baby & Kids,Pidilite Rangeela Creative Clay - Fruit Pack,35.0,2025-02-21
Packaged Food,Karachi's Besan Mysore Pak,120.0,2024-10-18
Tableware,Disposable Wooden Spoon - 14 cm,69.0,2025-01-21
DMart Grocery,Silky Kolam Rice,460.0,2025-02-27
Grocery,Badshah Kamal Tea Masala,102.0,2024-10-26
Butterfly,Butterfly Stainless Steel Outer Lid Curve Cooker,4851.0,2024-11-24
Backpacks,Wildcraft Power Laptop Utility Backpack - Black,2198.0,2024-12-11
Personal Care,Maybelline New York Creamy Mattes Mesmerizing Magenta Lipstick,299.0,2024-12-23
Syska,Syska SDI07 Dry Iron,799.0,2024-10-17
Motorbike Helmets,Studds Chrome Eco Full Face Helmet 580 mm - Black,1075.0,2024-11-14
School Supplies,Cello ColourUp Celebration Kit - Big,199.0,2025-01-20
School Supplies,Faber-Castell Plastic Erasable Crayons,65.0,2024-09-30
Fruits & Vegetables,Fresh Guava (Peru),55.0,2025-01-24
Wonderchef,Wonderchef Nutri-Blend Black,5300.0,2024-12-08
Grocery,Premia Rai,22.0,2025-01-25
Raincoat,Zeel MS201 Men's Raincoat - Light Green,499.0,2024-12-06
DMart Grocery,Biryani Rice,700.0,2024-11-30
Pigeon,Pigeon Induction Cooktop Acer Plus,3595.0,2024-12-15
Joyo Plastics,Joyo Kitchen Storewell Container Printed - Assorted,1265.0,2025-01-23
Specials,Nidhi Non-Stick Cookware Set,575.0,2024-10-26
Tableware,Disposable Paper Glass Riple - 250 ml,140.0,2024-11-15
Appliances,GM Air MT Electric Ceiling Fan - 1200 mm,1799.0,2024-10-23
Zebronics,Zebronics Gravity Wireless Bluetooth Neckband Earphone,1299.0,2024-12-17
Motorbike Helmets,Studds Chrome Eco Full Face Helmet 580 mm - Black,1075.0,2024-12-19
Dairy & Beverages,Amul Processed Cheese Block,114.0,2025-01-16
Backpacks,Wildcraft Wonder Backpack - Chips Grey,1699.0,2024-10-30
Clothing & Accessories,I & D Black Cotton Men's T-Shirt,300.0,2025-01-20
Motorbike Helmets,Studds Urban Open Face Helmet 580 mm - Black,1075.0,2025-02-13
School Supplies,Anupam Canvas Painting Board (10x12 Inches),90.0,2024-12-20
Specials,Zebronics Sound Bomb S1 Wireless Earbud,2849.0,2024-11-10
Geep,Geep Extreme 3 PIN Multi Plug Adapter,205.0,2025-01-09
School Supplies,Navneet Youva Long Notebook - Assorted,55.0,2025-01-02
Motorbike Helmets,Vega Verve Helmet - Medium,1295.0,2024-09-21
Dairy & Beverages,Go Double Toned Milk,68.0,2025-02-18
Butterfly,Butterfly Stainless Steel Outer Lid Curve Cooker,4851.0,2025-01-09
Joyo Plastics,Joyo Kitchen Storewell Container Printed - Assorted,1265.0,2024-12-15
Butterfly,Butterfly Stainless Steel Outer Lid Curve Cooker,4851.0,2024-10-26
Motorbike Helmets,Vega Cliff Full Face Helmet - Medium,998.0,2024-09-24
Clothing & Accessories,No Fuss Men'S Shorts Combo With Side Pockets - D01,350.0,2024-12-09
Grocery,Premia Dhaniya,74.0,2024-12-08
Backpacks,Wildcraft Wonder Backpack - Ombre Black,1699.0,2025-03-09
School Supplies,Navneet Youva Canvas Board (10x12 Inches),90.0,2024-12-09
Personal Care,Godrej Liquid Germ Fighter Lime & Eucalyptus Handwash,150.0,2024-11-01
Motorbike Helmets,Studds Chrome Eco Full Face Helmet 580 mm - Black,1075.0,2024-12-13
Grocery,Premia Malwani Masala Deluxe,83.0,2025-03-15
Geep,Geep G-Square Flex Box,360.0,2025-03-17
Zebronics,Zebronics Delight Bluetooth Speaker,899.0,2024-11-11
Smartwatches,Portronics Kronos Y1 Smart Watch - Grey,5999.0,2024-12-25
Computer Accessories,Zebronics K20 Keyboard,399.0,2024-09-22
Packaged Food,Shiv Shakti's Makhana,150.0,2025-02-14
Grocery,Everest Chicken Masala,43.0,2024-09-29
Dairy & Beverages,ID Creamy Thick Curd - Dahi,78.0,2025-01-11
Grocery,Figaro Extra Virgin Olive Oil Bottle,1199.0,2024-10-02
Appliances,Bajaj Mixer Grinder Tornado - 3 Jars,4050.0,2025-02-03
Baby & Kids,Nestle Ceregrow Milk & Fruits,303.0,2025-03-07
Butterfly,Butterfly Stainless Steel Outer Lid Curve Cooker,4851.0,2025-02-12
Backpacks,High Spirit Priority Champ Laptop Backpack - Black,999.0,2024-12-19
Specials,Syska LED Bulb B22 6500K,429.0,2024-10-16
Appliances,Syska Maxair Deco Ceiling Fan Sfd 1000 - 1200 mm,2050.0,2024-10-08
Syska,Syska SDI07 Dry Iron,799.0,2024-12-04
Home & Kitchen,Mangalam Campure Camphor Cone - Original,199.0,2025-01-20
